Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
25,Male,Accessories,85,M,Winter,3,No,Store Pickup,Yes,Yes,23,Venmo,Fortnightly
53,Male,Accessories,62,M,Winter,3,No,Free Shipping,Yes,Yes,27,PayPal,Bi-Weekly
45,Male,Clothing,71,S,Winter,3.4,No,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly
49,Male,Clothing,21,M,Winter,2.7,No,Free Shipping,Yes,Yes,2,PayPal,Weekly
40,Male,Accessories,61,M,Spring,3.8,No,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly
38,Male,Accessories,58,M,Spring,4.2,No,Store Pickup,Yes,Yes,27,Cash,Fortnightly
44,Male,Clothing,80,L,Spring,4.7,No,Store Pickup,Yes,Yes,6,Credit Card,Fortnightly
68,Male,Accessories,50,L,Spring,4.1,No,2-Day Shipping,Yes,Yes,20,Venmo,Quarterly
60,Male,Footwear,48,S,Winter,4.2,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months
25,Male,Accessories,40,M,Winter,4.8,No,Next Day Air,Yes,Yes,25,Cash,Quarterly
19,Male,Outerwear,34,S,Summer,3,No,Free Shipping,Yes,Yes,30,Bank Transfer,Quarterly
57,Male,Outerwear,46,S,Fall,2.6,No,Standard,Yes,Yes,48,Credit Card,Annually
58,Male,Accessories,27,M,Summer,3.2,No,Store Pickup,Yes,Yes,47,Bank Transfer,Weekly
49,Male,Accessories,98,S,Spring,3.6,No,Next Day Air,Yes,Yes,27,Credit Card,Weekly
19,Male,Clothing,73,M,Fall,2.6,No,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly
50,Male,Clothing,28,L,Spring,4.4,No,Express,Yes,Yes,2,Credit Card,Weekly
30,Male,Accessories,76,XL,Fall,3,No,Free Shipping,Yes,Yes,39,Cash,Fortnightly
52,Male,Clothing,83,M,Fall,2.9,No,Express,Yes,Yes,24,Cash,Fortnightly
35,Male,Clothing,23,S,Spring,4.3,No,Free Shipping,Yes,Yes,8,Debit Card,Bi-Weekly
35,Male,Accessories,28,M,Fall,3.1,No,Express,Yes,Yes,8,Bank Transfer,Quarterly
33,Male,Clothing,83,S,Spring,3,No,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months
52,Male,Clothing,96,L,Winter,3.6,No,Store Pickup,Yes,Yes,12,Venmo,Fortnightly
69,Male,Footwear,62,M,Fall,2.8,No,Store Pickup,Yes,Yes,26,Bank Transfer,Weekly
27,Male,Clothing,25,M,Fall,2.8,No,Standard,Yes,Yes,50,Cash,Fortnightly
66,Male,Clothing,97,L,Winter,4.9,No,Next Day Air,Yes,Yes,2,Venmo,Weekly
28,Male,Clothing,61,L,Fall,3,No,Standard,Yes,Yes,31,Cash,Bi-Weekly
22,Male,Footwear,66,S,Summer,4.1,No,Next Day Air,Yes,Yes,4,Credit Card,Bi-Weekly
69,Male,Clothing,67,XL,Spring,4.6,No,Free Shipping,Yes,Yes,32,PayPal,Quarterly
28,Male,Accessories,80,M,Summer,4.8,No,Next Day Air,Yes,Yes,11,PayPal,Bi-Weekly
55,Male,Clothing,25,L,Fall,2.6,No,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months
30,Male,Accessories,58,S,Fall,4,No,2-Day Shipping,Yes,Yes,37,Cash,Weekly
67,Male,Accessories,96,M,Winter,4.2,No,Express,Yes,Yes,39,PayPal,Fortnightly
25,Male,Accessories,77,L,Spring,4.5,No,Store Pickup,Yes,Yes,24,Credit Card,Monthly
49,Male,Accessories,65,M,Summer,4.9,No,Standard,Yes,Yes,11,PayPal,Every 3 Months
34,Male,Accessories,36,M,Spring,3.1,No,Standard,Yes,Yes,36,Credit Card,Weekly
22,Male,Footwear,84,M,Winter,4,No,Next Day Air,Yes,Yes,40,Debit Card,Monthly
63,Male,Clothing,58,XL,Fall,3.2,No,Express,Yes,Yes,25,Cash,Quarterly
70,Male,Accessories,62,S,Spring,4.3,No,2-Day Shipping,Yes,Yes,12,Credit Card,Annually
36,Male,Accessories,67,S,Fall,2.5,No,Store Pickup,Yes,Yes,38,Cash,Monthly
42,Male,Clothing,20,M,Spring,4.9,No,Express,Yes,Yes,40,Cash,Quarterly
27,Male,Footwear,90,M,Summer,2.7,No,2-Day Shipping,Yes,Yes,10,Bank Transfer,Weekly
23,Male,Accessories,58,L,Winter,3.4,No,Standard,Yes,Yes,47,Venmo,Fortnightly
50,Male,Clothing,53,XL,Spring,4.8,No,Store Pickup,Yes,Yes,22,Debit Card,Monthly
56,Male,Accessories,30,L,Winter,4.7,No,Next Day Air,Yes,Yes,35,Debit Card,Monthly
37,Male,Clothing,65,XL,Winter,4.7,No,Express,Yes,Yes,46,Venmo,Fortnightly
67,Male,Accessories,41,M,Summer,3.9,No,Standard,Yes,Yes,30,PayPal,Bi-Weekly
67,Male,Clothing,73,M,Spring,3.7,No,Express,Yes,Yes,20,Bank Transfer,Monthly
50,Male,Clothing,98,S,Spring,4.3,No,Store Pickup,Yes,Yes,25,Cash,Fortnightly
36,Male,Footwear,36,XL,Winter,4.1,No,2-Day Shipping,Yes,Yes,29,Cash,Weekly
62,Male,Clothing,81,M,Summer,4.6,No,Express,Yes,Yes,2,Venmo,Every 3 Months
65,Male,Clothing,90,L,Winter,3.6,No,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly
23,Male,Accessories,83,S,Summer,4.8,No,Free Shipping,Yes,Yes,37,Cash,Monthly
46,Male,Clothing,91,XL,Winter,2.8,No,2-Day Shipping,Yes,Yes,16,Bank Transfer,Every 3 Months
18,Male,Clothing,36,M,Summer,4.7,No,Express,Yes,Yes,32,Venmo,Fortnightly
58,Male,Outerwear,53,L,Spring,3.9,No,Standard,Yes,Yes,42,Debit Card,Bi-Weekly
31,Male,Clothing,39,M,Winter,2.6,No,Store Pickup,Yes,Yes,6,Credit Card,Every 3 Months
39,Male,Accessories,33,S,Winter,4.7,No,Next Day Air,Yes,Yes,23,PayPal,Fortnightly
69,Male,Clothing,76,L,Spring,3.5,No,Store Pickup,Yes,Yes,27,Venmo,Bi-Weekly
68,Male,Footwear,23,L,Winter,4.4,No,Standard,Yes,Yes,43,PayPal,Quarterly
41,Male,Clothing,54,S,Fall,4.4,No,2-Day Shipping,Yes,Yes,25,Bank Transfer,Fortnightly
31,Male,Footwear,89,L,Summer,3,No,Express,Yes,Yes,30,Cash,Every 3 Months
48,Male,Footwear,38,M,Summer,4.2,No,Standard,Yes,Yes,7,Bank Transfer,Every 3 Months
59,Male,Accessories,36,XL,Winter,4.3,No,Next Day Air,Yes,Yes,17,Debit Card,Annually
34,Male,Clothing,66,M,Spring,2.6,No,Store Pickup,Yes,Yes,10,PayPal,Fortnightly
21,Male,Accessories,42,L,Spring,3.3,No,Store Pickup,Yes,Yes,40,Venmo,Annually
29,Male,Accessories,36,S,Winter,2.7,No,Next Day Air,Yes,Yes,50,Venmo,Bi-Weekly
41,Male,Clothing,86,M,Spring,4.2,No,Express,Yes,Yes,24,Credit Card,Weekly
62,Male,Accessories,49,M,Fall,4,No,Standard,Yes,Yes,8,PayPal,Every 3 Months
27,Male,Clothing,41,M,Summer,4,No,Free Shipping,Yes,Yes,6,Bank Transfer,Quarterly
49,Male,Clothing,82,L,Spring,2.9,No,2-Day Shipping,Yes,Yes,44,Credit Card,Bi-Weekly
67,Male,Clothing,53,S,Fall,2.6,No,Express,Yes,Yes,47,PayPal,Quarterly
20,Male,Footwear,21,M,Summer,4.8,No,Express,Yes,Yes,6,Venmo,Every 3 Months
37,Male,Accessories,66,M,Fall,4.4,No,Standard,Yes,Yes,11,Cash,Quarterly
69,Male,Accessories,89,L,Summer,4,No,2-Day Shipping,Yes,Yes,41,Bank Transfer,Annually
66,Male,Accessories,55,L,Fall,3.6,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months
37,Male,Accessories,42,S,Summer,3.2,No,Next Day Air,Yes,Yes,9,Venmo,Bi-Weekly
63,Male,Clothing,52,S,Fall,3.1,No,2-Day Shipping,Yes,Yes,37,PayPal,Monthly
47,Male,Footwear,92,M,Winter,4.2,No,Express,Yes,Yes,13,PayPal,Weekly
26,Male,Clothing,56,L,Summer,3,No,2-Day Shipping,Yes,Yes,24,Debit Card,Monthly
68,Male,Clothing,96,M,Winter,4.2,No,Standard,Yes,Yes,47,PayPal,Quarterly
51,Male,Clothing,64,M,Winter,2.9,No,Next Day Air,Yes,Yes,21,Venmo,Every 3 Months
48,Male,Clothing,48,S,Winter,3.7,No,Store Pickup,Yes,Yes,22,Venmo,Fortnightly
60,Male,Clothing,83,XL,Summer,3.6,No,Free Shipping,Yes,Yes,16,PayPal,Quarterly
68,Male,Accessories,91,L,Summer,3.6,No,Standard,Yes,Yes,37,Debit Card,Fortnightly
25,Male,Accessories,94,S,Fall,4.5,No,2-Day Shipping,Yes,Yes,3,Cash,Annually
57,Male,Clothing,62,S,Spring,3.2,No,Express,Yes,Yes,33,Cash,Bi-Weekly
41,Male,Clothing,55,M,Spring,3.9,No,Next Day Air,Yes,Yes,15,Debit Card,Annually
59,Male,Outerwear,68,L,Spring,4.6,No,Store Pickup,Yes,Yes,42,Bank Transfer,Bi-Weekly
44,Male,Accessories,76,M,Winter,2.5,No,Express,Yes,Yes,42,Cash,Bi-Weekly
42,Male,Accessories,31,M,Winter,4.3,No,Express,Yes,Yes,19,Bank Transfer,Bi-Weekly
35,Male,Accessories,81,M,Spring,4.1,No,Store Pickup,Yes,Yes,26,PayPal,Quarterly
36,Male,Clothing,83,M,Winter,4.6,No,Free Shipping,Yes,Yes,39,PayPal,Quarterly
54,Male,Clothing,21,M,Spring,4.8,No,Standard,Yes,Yes,24,Debit Card,Monthly
37,Male,Clothing,22,M,Spring,4.9,No,Express,Yes,Yes,23,Debit Card,Annually
20,Male,Clothing,33,M,Summer,2.8,No,Free Shipping,Yes,Yes,44,Bank Transfer,Annually
23,Male,Clothing,23,S,Spring,4.9,No,Standard,Yes,Yes,34,Cash,Monthly
61,Male,Clothing,96,L,Summer,3.5,No,Free Shipping,Yes,Yes,43,Bank Transfer,Quarterly
37,Male,Accessories,21,M,Spring,3.8,No,Express,Yes,Yes,45,PayPal,Quarterly
23,Male,Clothing,39,M,Spring,4.5,No,2-Day Shipping,Yes,Yes,4,Credit Card,Weekly
63,Male,Accessories,73,S,Fall,3.4,No,Express,Yes,Yes,19,Credit Card,Annually
47,Male,Clothing,64,M,Spring,3.9,No,Standard,Yes,Yes,29,Credit Card,Monthly
63,Male,Clothing,68,M,Summer,4.1,No,2-Day Shipping,Yes,Yes,27,Credit Card,Annually
56,Male,Accessories,89,L,Fall,3,No,Express,Yes,Yes,37,Credit Card,Every 3 Months
68,Male,Clothing,29,M,Summer,3.3,No,Next Day Air,Yes,Yes,11,Credit Card,Weekly
64,Male,Clothing,97,XL,Summer,4.9,No,Free Shipping,Yes,Yes,28,Debit Card,Annually
62,Male,Clothing,45,M,Winter,4.3,No,Next Day Air,Yes,Yes,31,Credit Card,Weekly
34,Male,Clothing,70,L,Winter,4.1,No,Free Shipping,Yes,Yes,50,Venmo,Quarterly
49,Male,Outerwear,56,M,Summer,4,No,2-Day Shipping,Yes,Yes,42,Venmo,Quarterly
40,Male,Outerwear,55,L,Fall,5,No,2-Day Shipping,Yes,Yes,18,Credit Card,Fortnightly
50,Male,Clothing,46,S,Winter,3.1,No,2-Day Shipping,Yes,Yes,6,Credit Card,Fortnightly
25,Male,Accessories,95,M,Winter,4,No,2-Day Shipping,Yes,Yes,33,Venmo,Monthly
30,Male,Accessories,88,M,Winter,3.2,No,2-Day Shipping,Yes,Yes,13,Bank Transfer,Bi-Weekly
54,Male,Footwear,92,L,Fall,3.9,No,Standard,Yes,Yes,26,PayPal,Annually
40,Male,Clothing,49,M,Summer,3.9,No,2-Day Shipping,Yes,Yes,17,Cash,Annually
49,Male,Footwear,89,M,Fall,4.5,No,Free Shipping,Yes,Yes,3,Debit Card,Weekly
27,Male,Outerwear,22,XL,Winter,4.4,No,Store Pickup,Yes,Yes,7,PayPal,Weekly
27,Male,Footwear,61,XL,Summer,3.1,No,2-Day Shipping,Yes,Yes,46,Venmo,Fortnightly
48,Male,Accessories,29,S,Spring,2.9,No,Standard,Yes,Yes,14,Venmo,Every 3 Months
40,Male,Footwear,82,M,Winter,3.7,No,Free Shipping,Yes,Yes,23,Bank Transfer,Annually
67,Male,Accessories,94,M,Spring,3.2,No,2-Day Shipping,Yes,Yes,20,Credit Card,Every 3 Months
52,Male,Accessories,99,M,Spring,3.5,No,Standard,Yes,Yes,38,Bank Transfer,Fortnightly
22,Male,Accessories,59,S,Fall,3,No,Free Shipping,Yes,Yes,16,Venmo,Every 3 Months
62,Male,Footwear,90,M,Summer,4.1,No,Next Day Air,Yes,Yes,48,Credit Card,Every 3 Months
20,Male,Footwear,100,S,Winter,2.9,No,2-Day Shipping,Yes,Yes,8,Debit Card,Annually
41,Male,Clothing,62,M,Winter,3.8,No,Next Day Air,Yes,Yes,16,Bank Transfer,Monthly
34,Male,Accessories,78,M,Fall,4.1,No,Next Day Air,Yes,Yes,5,Cash,Quarterly
23,Male,Clothing,94,M,Spring,4.6,No,Store Pickup,Yes,Yes,14,Venmo,Every 3 Months
32,Male,Footwear,74,M,Summer,2.5,No,Free Shipping,Yes,Yes,18,Credit Card,Weekly
68,Male,Accessories,52,XL,Spring,3.7,No,Express,Yes,Yes,14,Debit Card,Every 3 Months
30,Male,Outerwear,81,M,Fall,3.8,No,Free Shipping,Yes,Yes,5,Cash,Every 3 Months
66,Male,Clothing,20,L,Winter,2.6,No,2-Day Shipping,Yes,Yes,15,Credit Card,Every 3 Months
62,Male,Clothing,32,XL,Summer,3.7,No,Free Shipping,Yes,Yes,3,Venmo,Every 3 Months
50,Male,Footwear,63,XL,Fall,2.6,No,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
55,Male,Footwear,79,M,Spring,3.1,No,Store Pickup,Yes,Yes,43,Cash,Every 3 Months
19,Male,Clothing,23,M,Winter,2.5,No,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
67,Male,Accessories,64,M,Winter,4.9,No,Express,Yes,Yes,36,Bank Transfer,Quarterly
18,Male,Clothing,69,M,Winter,4.5,No,Standard,Yes,Yes,3,Cash,Quarterly
58,Male,Clothing,69,L,Fall,3.4,No,Store Pickup,Yes,Yes,27,Bank Transfer,Annually
69,Male,Clothing,24,L,Winter,3.9,No,Free Shipping,Yes,Yes,21,Bank Transfer,Weekly
62,Male,Clothing,50,M,Summer,3.7,No,Store Pickup,Yes,Yes,18,Venmo,Weekly
28,Male,Accessories,97,S,Fall,2.6,No,Free Shipping,Yes,Yes,16,Debit Card,Weekly
53,Male,Footwear,91,S,Fall,3.4,No,Store Pickup,Yes,Yes,18,Venmo,Bi-Weekly
27,Male,Clothing,37,L,Spring,4.9,No,Store Pickup,Yes,Yes,19,Bank Transfer,Bi-Weekly
55,Male,Outerwear,55,S,Winter,3.9,No,Express,Yes,Yes,1,Cash,Annually
34,Male,Accessories,52,XL,Winter,3.6,No,Express,Yes,Yes,39,Bank Transfer,Annually
25,Male,Accessories,80,L,Spring,4.6,No,Standard,Yes,Yes,49,Venmo,Monthly
66,Male,Clothing,79,M,Spring,4,No,2-Day Shipping,Yes,Yes,43,Credit Card,Fortnightly
57,Male,Accessories,23,M,Summer,3.6,No,Free Shipping,Yes,Yes,31,Debit Card,Every 3 Months
46,Male,Clothing,73,L,Winter,3.5,No,Next Day Air,Yes,Yes,40,Venmo,Every 3 Months
38,Male,Accessories,99,M,Fall,4.1,No,Store Pickup,Yes,Yes,2,Bank Transfer,Bi-Weekly
23,Male,Clothing,22,M,Spring,3,No,Store Pickup,Yes,Yes,46,PayPal,Every 3 Months
42,Male,Accessories,68,M,Summer,4.4,No,Store Pickup,Yes,Yes,35,Debit Card,Every 3 Months
25,Male,Clothing,92,S,Spring,4.4,No,2-Day Shipping,Yes,Yes,42,Credit Card,Quarterly
55,Male,Clothing,77,M,Winter,3.7,No,Express,Yes,Yes,3,Venmo,Fortnightly
62,Male,Outerwear,37,XL,Spring,4.8,No,Standard,Yes,Yes,32,Debit Card,Every 3 Months
41,Male,Accessories,79,L,Winter,2.9,No,Store Pickup,Yes,Yes,48,Debit Card,Annually
58,Male,Clothing,51,XL,Winter,3.1,No,Express,Yes,Yes,34,Credit Card,Weekly
56,Male,Clothing,27,M,Summer,4,No,Next Day Air,Yes,Yes,15,Bank Transfer,Quarterly
25,Male,Clothing,23,S,Spring,3,No,Store Pickup,Yes,Yes,22,Debit Card,Annually
70,Male,Clothing,76,S,Summer,3.9,No,2-Day Shipping,Yes,Yes,2,Cash,Monthly
42,Male,Clothing,31,M,Fall,3.4,No,Standard,Yes,Yes,30,Bank Transfer,Weekly
27,Male,Clothing,60,M,Winter,2.7,No,Standard,Yes,Yes,27,Cash,Monthly
65,Male,Clothing,99,M,Spring,3.5,No,Express,Yes,Yes,18,Venmo,Bi-Weekly
62,Male,Accessories,37,XL,Winter,3,No,Free Shipping,Yes,Yes,8,Credit Card,Annually
62,Male,Footwear,50,M,Winter,4.5,No,Express,Yes,Yes,48,Venmo,Fortnightly
52,Male,Clothing,26,XL,Winter,4.1,No,Free Shipping,Yes,Yes,24,Cash,Monthly
56,Male,Clothing,86,XL,Spring,5,No,Next Day Air,Yes,Yes,43,Credit Card,Monthly
28,Male,Footwear,41,L,Fall,4,No,Standard,Yes,Yes,8,Cash,Quarterly
39,Male,Footwear,23,XL,Winter,4.9,No,Express,Yes,Yes,49,PayPal,Annually
54,Male,Footwear,56,XL,Spring,3.3,No,2-Day Shipping,Yes,Yes,2,Credit Card,Bi-Weekly
30,Male,Accessories,68,M,Fall,4.1,No,Standard,Yes,Yes,38,Cash,Fortnightly
45,Male,Outerwear,48,S,Winter,3.6,No,Express,Yes,Yes,4,Cash,Fortnightly
68,Male,Clothing,67,L,Spring,3,No,Free Shipping,Yes,Yes,31,Cash,Every 3 Months
47,Male,Footwear,87,XL,Spring,4.1,No,2-Day Shipping,Yes,Yes,34,Debit Card,Every 3 Months
68,Male,Clothing,64,M,Fall,3.9,No,Standard,Yes,Yes,45,Credit Card,Monthly
63,Male,Clothing,93,XL,Spring,4.1,No,Store Pickup,Yes,Yes,30,Debit Card,Quarterly
20,Male,Clothing,29,L,Summer,2.8,No,Next Day Air,Yes,Yes,2,Credit Card,Fortnightly
29,Male,Footwear,62,L,Winter,4.8,No,Store Pickup,Yes,Yes,44,Venmo,Monthly
41,Male,Clothing,70,L,Winter,4.6,No,2-Day Shipping,Yes,Yes,1,Credit Card,Bi-Weekly
52,Male,Clothing,92,S,Winter,2.5,No,Next Day Air,Yes,Yes,1,Venmo,Bi-Weekly
32,Male,Clothing,79,M,Spring,2.7,No,Next Day Air,Yes,Yes,27,Bank Transfer,Weekly
20,Male,Clothing,31,M,Fall,4,No,Standard,Yes,Yes,14,Debit Card,Every 3 Months
47,Male,Clothing,83,S,Spring,2.7,No,Standard,Yes,Yes,41,Cash,Weekly
23,Male,Outerwear,88,XL,Winter,2.9,No,Next Day Air,Yes,Yes,25,Debit Card,Bi-Weekly
43,Male,Accessories,53,M,Spring,3,No,Standard,Yes,Yes,47,PayPal,Quarterly
67,Male,Clothing,98,M,Fall,3.3,No,Standard,Yes,Yes,20,Cash,Annually
70,Male,Accessories,57,S,Spring,4.3,No,Store Pickup,Yes,Yes,42,PayPal,Annually
35,Male,Footwear,80,M,Winter,4.4,No,Express,Yes,Yes,16,Bank Transfer,Monthly
41,Male,Clothing,29,L,Spring,4.1,No,Next Day Air,Yes,Yes,32,Credit Card,Every 3 Months
54,Male,Accessories,73,M,Spring,3.1,No,2-Day Shipping,Yes,Yes,37,PayPal,Quarterly
55,Male,Clothing,32,S,Fall,4.5,No,Standard,Yes,Yes,1,PayPal,Monthly
51,Male,Footwear,68,L,Spring,4.8,No,Next Day Air,Yes,Yes,37,Bank Transfer,Weekly
19,Male,Clothing,97,L,Spring,5,No,Express,Yes,Yes,5,Venmo,Quarterly
28,Male,Clothing,98,M,Fall,2.8,No,Next Day Air,Yes,Yes,31,Venmo,Fortnightly
63,Male,Clothing,56,L,Fall,3.7,No,Express,Yes,Yes,18,Debit Card,Annually
30,Male,Clothing,78,L,Winter,4.4,No,2-Day Shipping,Yes,Yes,39,Venmo,Every 3 Months
29,Male,Accessories,81,M,Spring,4.5,No,Store Pickup,Yes,Yes,8,Venmo,Bi-Weekly
24,Male,Clothing,68,L,Winter,3,No,Free Shipping,Yes,Yes,20,Venmo,Monthly
69,Male,Clothing,94,M,Winter,3.9,No,2-Day Shipping,Yes,Yes,23,Debit Card,Every 3 Months
65,Male,Clothing,93,M,Spring,3.9,No,Express,Yes,Yes,38,PayPal,Fortnightly
64,Male,Accessories,99,M,Fall,3.5,No,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly
40,Male,Accessories,49,L,Winter,4.9,No,Next Day Air,Yes,Yes,44,Debit Card,Fortnightly
24,Male,Clothing,28,XL,Winter,3.4,No,Standard,Yes,Yes,20,PayPal,Monthly
66,Male,Accessories,93,XL,Winter,4.1,No,Standard,Yes,Yes,34,PayPal,Bi-Weekly
35,Male,Outerwear,24,M,Fall,2.9,No,Next Day Air,Yes,Yes,10,PayPal,Weekly
67,Male,Clothing,35,M,Spring,3.4,No,Free Shipping,Yes,Yes,3,PayPal,Annually
69,Male,Footwear,68,S,Spring,3.2,No,2-Day Shipping,Yes,Yes,23,Debit Card,Fortnightly
26,Male,Accessories,61,M,Summer,3.9,No,Free Shipping,Yes,Yes,42,Bank Transfer,Annually
23,Male,Clothing,74,XL,Fall,4.1,No,Standard,Yes,Yes,30,Debit Card,Annually
27,Male,Clothing,64,M,Summer,4.5,No,Standard,Yes,Yes,21,Cash,Every 3 Months
30,Male,Footwear,60,M,Fall,2.8,No,Standard,Yes,Yes,50,PayPal,Weekly
48,Male,Clothing,29,S,Spring,2.8,No,Express,Yes,Yes,16,Cash,Bi-Weekly
44,Male,Footwear,85,M,Summer,4.6,No,Standard,Yes,Yes,32,Venmo,Annually
29,Male,Clothing,81,S,Summer,3,No,Free Shipping,Yes,Yes,14,Bank Transfer,Fortnightly
29,Male,Accessories,23,L,Fall,3.6,No,2-Day Shipping,Yes,Yes,42,Venmo,Bi-Weekly
67,Male,Clothing,100,M,Spring,4.5,No,Next Day Air,Yes,Yes,47,Credit Card,Every 3 Months
42,Male,Clothing,54,M,Fall,5,No,Express,Yes,Yes,21,Debit Card,Weekly
23,Male,Footwear,25,M,Fall,2.9,No,Next Day Air,Yes,Yes,37,Credit Card,Monthly
34,Male,Clothing,32,L,Summer,3.1,No,Next Day Air,Yes,Yes,10,Credit Card,Annually
64,Male,Accessories,63,S,Spring,4,No,2-Day Shipping,Yes,Yes,18,PayPal,Every 3 Months
31,Male,Clothing,56,XL,Spring,4.5,No,Express,Yes,Yes,2,PayPal,Every 3 Months
54,Male,Clothing,33,L,Winter,4.5,No,Next Day Air,Yes,Yes,40,PayPal,Annually
23,Male,Outerwear,32,L,Summer,3.1,No,Express,Yes,Yes,43,PayPal,Annually
59,Male,Clothing,38,L,Summer,4.4,No,Next Day Air,Yes,Yes,14,Credit Card,Every 3 Months
32,Male,Clothing,21,L,Summer,4.7,No,Store Pickup,Yes,Yes,41,Cash,Quarterly
43,Male,Clothing,59,L,Winter,3.1,No,Store Pickup,Yes,Yes,38,Credit Card,Every 3 Months
32,Male,Footwear,87,M,Fall,4.2,No,Express,Yes,Yes,12,Venmo,Annually
66,Male,Clothing,79,M,Winter,3,No,Store Pickup,Yes,Yes,19,Bank Transfer,Monthly
70,Male,Footwear,28,M,Summer,2.6,No,Free Shipping,Yes,Yes,23,Credit Card,Bi-Weekly
42,Male,Footwear,67,S,Summer,3.4,No,Free Shipping,Yes,Yes,49,Debit Card,Annually
56,Male,Clothing,75,L,Spring,4.2,No,2-Day Shipping,Yes,Yes,29,Debit Card,Quarterly
28,Male,Accessories,32,S,Spring,4.6,No,Standard,Yes,Yes,14,Debit Card,Bi-Weekly
28,Male,Clothing,43,M,Spring,2.8,No,Free Shipping,Yes,Yes,19,Cash,Monthly
52,Male,Clothing,93,M,Spring,2.7,No,Express,Yes,Yes,19,Credit Card,Bi-Weekly
65,Male,Accessories,24,M,Spring,4,No,Standard,Yes,Yes,48,Bank Transfer,Weekly
56,Male,Accessories,31,XL,Fall,3.1,No,Free Shipping,Yes,Yes,19,Debit Card,Annually
59,Male,Clothing,84,L,Winter,3.7,No,Express,Yes,Yes,45,Bank Transfer,Every 3 Months
23,Male,Clothing,74,M,Winter,4,No,Next Day Air,Yes,Yes,17,Bank Transfer,Quarterly
58,Male,Clothing,62,M,Spring,4.6,No,Standard,Yes,Yes,15,Debit Card,Every 3 Months
39,Male,Accessories,77,S,Summer,3.8,No,Free Shipping,Yes,Yes,11,Credit Card,Fortnightly
28,Male,Accessories,73,L,Summer,3.5,No,Express,Yes,Yes,1,Cash,Monthly
40,Male,Footwear,50,M,Spring,4.6,No,Free Shipping,Yes,Yes,17,Cash,Monthly
52,Male,Outerwear,40,M,Winter,2.8,No,Standard,Yes,Yes,37,Cash,Weekly
37,Male,Clothing,97,M,Winter,3.7,No,Standard,Yes,Yes,40,Bank Transfer,Weekly
70,Male,Accessories,63,M,Fall,3.3,No,Express,Yes,Yes,50,PayPal,Every 3 Months
30,Male,Accessories,65,M,Fall,2.9,No,Standard,Yes,Yes,20,PayPal,Bi-Weekly
38,Male,Clothing,91,M,Spring,3.2,No,Standard,Yes,Yes,8,PayPal,Bi-Weekly
66,Male,Clothing,60,S,Spring,4.3,No,Store Pickup,Yes,Yes,16,Bank Transfer,Quarterly
29,Male,Clothing,69,M,Winter,2.7,No,Next Day Air,Yes,Yes,9,Bank Transfer,Quarterly
46,Male,Outerwear,52,S,Spring,4.2,No,Store Pickup,Yes,Yes,12,Venmo,Monthly
56,Male,Footwear,49,M,Fall,4.8,No,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
23,Male,Footwear,85,M,Spring,4.8,No,Store Pickup,Yes,Yes,44,Debit Card,Fortnightly
37,Male,Clothing,86,L,Spring,3.4,No,Express,Yes,Yes,19,Credit Card,Bi-Weekly
56,Male,Accessories,51,S,Winter,2.6,No,Standard,Yes,Yes,43,PayPal,Fortnightly
36,Male,Accessories,56,L,Winter,5,No,Next Day Air,Yes,Yes,5,Bank Transfer,Every 3 Months
40,Male,Accessories,72,M,Fall,4.4,No,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months
26,Male,Clothing,27,XL,Fall,2.9,No,Standard,Yes,Yes,31,Bank Transfer,Quarterly
57,Male,Accessories,43,XL,Summer,3.4,No,2-Day Shipping,Yes,Yes,11,Bank Transfer,Monthly
68,Male,Footwear,56,M,Spring,3.4,No,Standard,Yes,Yes,34,Bank Transfer,Monthly
56,Male,Clothing,37,S,Fall,4.9,No,Next Day Air,Yes,Yes,14,Cash,Annually
40,Male,Clothing,21,M,Fall,3.6,No,Standard,Yes,Yes,42,Venmo,Weekly
44,Male,Clothing,91,L,Winter,3,No,Free Shipping,Yes,Yes,15,Venmo,Bi-Weekly
44,Male,Clothing,95,M,Summer,3.9,No,2-Day Shipping,Yes,Yes,47,Bank Transfer,Monthly
19,Male,Accessories,54,XL,Spring,3.2,No,Standard,Yes,Yes,23,Credit Card,Fortnightly
21,Male,Clothing,36,XL,Spring,3.2,No,Next Day Air,Yes,Yes,23,Cash,Bi-Weekly
31,Male,Accessories,71,M,Fall,4.3,No,Next Day Air,Yes,Yes,1,Cash,Every 3 Months
30,Male,Outerwear,31,L,Summer,2.8,No,2-Day Shipping,Yes,Yes,28,Bank Transfer,Quarterly
